"CÓDIGO DA RECEITA","MÊS","DESCRIÇÃO RECEITA","UNIDADE GESTORA","CLASSIFICAÇÃO","VALOR DO MÊS (R$)","SALDO ATÉ MÊS (R$)"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","301696000.00","301696000.00"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","23527068.97","23527068.97"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","301696000.00"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","36660015.59","60187084.56"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","5326741.00","307022741.00"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","27836938.25","88024022.81"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","470000.00","307492741.00"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","28217577.80","116241600.61"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","9701992.51","317194733.51"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","27039227.77","143280828.38"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","29242012.85","346436746.36"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","27397214.66","170678043.04"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","25173160.45","371609906.81"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","30598476.34","201276519.38"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","1458500.00","373068406.81"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","24896802.54","226173321.92"
