"Código da Unidade Gestora","Unidade Gestora","Código do Subelemento de Despesas","Subelemento de Despesa","Código da Função","Função","Código da Subfunção","Subfunção","Código do Programa","Programa","Código do Projeto Atividade","Projeto Atividade","Código da Natureza da Despesa","Natureza da despesa","Código da Fonte de Recurso","Fonte de Recursos","Código do Grupo de Despesas","Grupo de Despesas","Código da Unidade Orçamentária","Unidade Orçamentária","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","99","OUTRAS TRANSF AOS MUNICIPIOS","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","33404100","CONTRIBUICOES","06","FUNDO DE COMBATE E ERRADICAC DA POBREZA","63","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","80000.00","80000.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","10","SERV TECNICO PROFISSIONAIS","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","33903600","OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","12900.00","12900.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","15","LOCACAO DE BENS IMOVEIS","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","33903900","OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","83","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","18000.00","18000.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","1","VEICULOS","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","44905200","EQUIPAMENTOS E MATERIAL PERMANENTE","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","84","INVESTIMENTOS","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","114500.00","114500.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","9","EQUIP E UTENSILIOS PARA ESCRITORIO","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","44905200","EQUIPAMENTOS E MATERIAL PERMANENTE","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","84","INVESTIMENTOS","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","20792.60","15294.00","5498.60"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","20","MOBILIARIO EM GERAL","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","44905200","EQUIPAMENTOS E MATERIAL PERMANENTE","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","84","INVESTIMENTOS","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","10659.00","10659.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","80","EQUIPAMENTOS PARA TECNOLOGIA DA INFORMACAO","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","44905200","EQUIPAMENTOS E MATERIAL PERMANENTE","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","84","INVESTIMENTOS","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","9209.00","9209.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","99","OUTROS MATERIAIS PERMANENTES","08","ASSISTENCIA SOCIAL","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","5040","PROMOCAO DA ASSISTENCIA SOCIAL","4587","ATENCAO ? MULHER EM SITUACAO DE VIOLENCIA E VULNERABILIDADE SOCIAL","44905200","EQUIPAMENTOS E MATERIAL PERMANENTE","58","REC DE CONV COM ORGAOS FEDERAIS - OUTROS","84","INVESTIMENTOS","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","5141.00","5141.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","1","DIARIAS NO ESTADO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33901400","DIARIAS -  CIVIL","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","24612.50","24612.50","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2","DIARIAS FORA DO ESTADO","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33901400","DIARIAS -  CIVIL","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","14730.00","14730.00","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","2","GENEROS DE ALIMENTOS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","5289.67","5289.67","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","5","MATERIAL DE EXPEDIENTE","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","4834.47","4834.47","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","9","MATERIAL PARA LIMPEZA CONSERVACAO E HIGIENE","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","1372.74","1372.74","0.00"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","10","MATERIAL PARA REPAROS E CONSERVACAO DE IMOVEIS","14","DIREITOS DA CIDADANIA","122","ADMINISTRACAO GERAL","5046","APOIO ADMINISTRATIVO","4216","MANUTENCAO DE SERVICOS ADMINISTRATIVOS","33903000","MATERIAL DE CONSUMO","00","RECURSOS PROPRIOS DO ESTADO","13","OUTRAS DESPESAS CORRENTES","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","1100.83","1100.83","0.00"
