"CÓDIGO DA RECEITA","MÊS","DESCRIÇÃO RECEITA","UNIDADE GESTORA","CLASSIFICAÇÃO","VALOR DO MÊS (R$)","SALDO ATÉ MÊS (R$)"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","245043000.00","245043000.00"
"011120431","1","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","6837675.95","6837675.95"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","2","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","16765548.94","23603224.89"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","3","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","29992492.42","53595717.31"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","4","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","17504117.04","71099834.35"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","5","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","19202227.90","90302062.25"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","6","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","18070241.68","108372303.93"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","7","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","17899822.15","126272126.08"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","8","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","16351161.46","142623287.54"
"011120431","9","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","PREVISTA","0.00","245043000.00"
"011120431","9","IRRF S/ OS REND. DO TRABALHO","SECRETARIA DE ESTADO DAS FINANCAS","RECEBIDA","18997951.57","161621239.11"
